TF-IDF Features for Each Document:

Document: a1.txt
  Term: nicknames, TF-IDF Score: 0.0220
  Term: flattening, TF-IDF Score: 0.0220
  Term: punch, TF-IDF Score: 0.0220
  Term: hariyama, TF-IDF Score: 0.0220
  Term: wheel, TF-IDF Score: 0.0220
  Term: greta, TF-IDF Score: 0.0220
  Term: guts, TF-IDF Score: 0.0220
  Term: earn, TF-IDF Score: 0.0220
  Term: recently, TF-IDF Score: 0.0220
  Term: houndoom, TF-IDF Score: 0.0220
  Term: hypno, TF-IDF Score: 0.0220
  Term: steelix, TF-IDF Score: 0.0220
  Term: following, TF-IDF Score: 0.0220
  Term: fought, TF-IDF Score: 0.0220
  Term: scizor, TF-IDF Score: 0.0220
  Term: arcanine, TF-IDF Score: 0.0220
  Term: nidoqueen, TF-IDF Score: 0.0220
  Term: kingdra, TF-IDF Score: 0.0220
  Term: masters, TF-IDF Score: 0.0220
  Term: sumo, TF-IDF Score: 0.0220
  Term: opting, TF-IDF Score: 0.0220
  Term: sporadically, TF-IDF Score: 0.0220
  Term: grapefruit, TF-IDF Score: 0.0220
  Term: grapefruits, TF-IDF Score: 0.0220
  Term: eating, TF-IDF Score: 0.0220
